"pitchno","date","time","paofinning","pitchofpa","pitcher","pitcherid","pitcherthrows","pitcherteam","batter","batterid","batterside","batterteam","pitcherset","inning","top/bottom","outs","balls","strikes","taggedpitchtype","autopitchtype","pitchcall","korbb","taggedhittype","playresult","outsonplay","runsscored","notes","relspeed","vertrelangle","horzrelangle","spinrate","spinaxis","tilt","relheight","relside","extension","vertbreak","inducedvertbreak","horzbreak","platelocheight","platelocside","zonespeed","vertapprangle","horzapprangle","zonetime","exitspeed","angle","direction","hitspinrate","positionat110x","positionat110y","positionat110z","distance","lasttrackeddistance","bearing","hangtime","pfxx","pfxz","x0","y0","z0","vx0","vy0","vz0","ax0","ay0","az0","hometeam","awayteam","stadium","level","league","gameid","pitchuid","effectivevelo","maxheight","measuredduration","speeddrop","pitchlastmeasuredx","pitchlastmeasuredy","pitchlastmeasuredz","contactpositionx","contactpositiony","contactpositionz","gameuid","utcdate","utctime","localdatetime","utcdatetime","autohittype","system","hometeamforeignid","awayteamforeignid","gameforeignid","catcher","catcherid","catcherthrows","catcherteam","playid","pitchtrajectoryxc0","pitchtrajectoryxc1","pitchtrajectoryxc2","pitchtrajectoryyc0","pitchtrajectoryyc1","pitchtrajectoryyc2","pitchtrajectoryzc0","pitchtrajectoryzc1","pitchtrajectoryzc2","hitspinaxis","hittrajectoryxc0","hittrajectoryxc1","hittrajectoryxc2","hittrajectoryxc3","hittrajectoryxc4","hittrajectoryxc5","hittrajectoryxc6","hittrajectoryxc7","hittrajectoryxc8","hittrajectoryyc0","hittrajectoryyc1","hittrajectoryyc2","hittrajectoryyc3","hittrajectoryyc4","hittrajectoryyc5","hittrajectoryyc6","hittrajectoryyc7","hittrajectoryyc8","hittrajectoryzc0","hittrajectoryzc1","hittrajectoryzc2","hittrajectoryzc3","hittrajectoryzc4","hittrajectoryzc5","hittrajectoryzc6","hittrajectoryzc7","hittrajectoryzc8","throwspeed","poptime","exchangetime","timetobase","catchpositionx","catchpositiony","catchpositionz","throwpositionx","throwpositiony","throwpositionz","basepositionx","basepositiony","basepositionz","throwtrajectoryxc0","throwtrajectoryxc1","throwtrajectoryxc2","throwtrajectoryyc0","throwtrajectoryyc1","throwtrajectoryyc2","throwtrajectoryzc0","throwtrajectoryzc1","throwtrajectoryzc2","pitchreleaseconfidence","pitchlocationconfidence","pitchmovementconfidence","hitlaunchconfidence","hitlandingconfidence","catcherthrowcatchconfidence","catcherthrowreleaseconfidence","catcherthrowlocationconfidence","spinaxis3dtransverseangle","spinaxis3dlongitudinalangle","spinaxis3dactivespinrate","spinaxis3dspinefficiency","spinaxis3dtilt","spinaxis3dvectorx","spinaxis3dvectory","spinaxis3dvectorz","spinaxis3dseamorientationrotationx","spinaxis3dseamorientationrotationy","spinaxis3dseamorientationrotationz","spinaxis3dseamorientationballyamb1","spinaxis3dseamorientationballanglehorizontalamb1","spinaxis3dseamorientationballzamb1","spinaxis3dseamorientationballangleverticalamb2","spinaxis3dseamorientationballzamb2","spinaxis3dseamorientationballxamb4","spinaxis3dseamorientationballyamb4","spinaxis3dseamorientationballanglehorizontalamb2","spinaxis3dseamorientationballangleverticalamb1","spinaxis3dseamorientationballxamb1","spinaxis3dseamorientationballyamb2","spinaxis3dseamorientationballanglehorizontalamb4","spinaxis3dseamorientationballangleverticalamb4","spinaxis3dseamorientationballxamb2","spinaxis3dseamorientationballangleverticalamb3","spinaxis3dseamorientationballanglehorizontalamb3","spinaxis3dseamorientationballxamb3","spinaxis3dseamorientationballyamb3","spinaxis3dseamorientationballzamb3","spinaxis3dseamorientationballzamb4","batspeed","verticalattackangle","horizontalattackangle","year","month","day"
"1","2026-02-28","17:32:26.30","1","1","Walker, Jonah","807939","Left","NOR_BIS","Patterson, Christopher","1000080435","Right","MIZ_TIG","Undefined","3","Bottom","1","1","2","Fastball","Four-Seam","StrikeSwinging","Strikeout","Undefined","Undefined","0","0","","86.84528","-0.509266","0.844829","2214.123577","162.107537","11:30","5.80603","-1.10806","5.59865","-24.39525","12.86013","-3.78953","3.29758","-0.63506","79.7712","-5.044006","0.168245","0.439305",,,,,,,,,,,,"2.13736","6.99433","1.03817","50.0","5.74666","-1.69834","-126.15771","-1.93826","3.46238","24.4276","-20.84365","MIZ_TIG","NOR_BIS","TaylorStadium","D1","SEC","20260228-TaylorStadium-3","bdd48920-14fd-11f1-9d47-ad81a36dfdfe","85.80021",,,"7.07408",,,,,,,"bef09457-2091-4c2d-8883-3b9e5841a581","2026-02-28","23:32:26.30","2026-02-28T17:32:26.3050000-06:00","2026-02-28T23:32:26.3050000Z","","v3","4806","471388","509f340b254c4b3a96c253b40ff1333c","Gustafson, Evan","1000308757","Right","NOR_BIS","68113b96-bf7d-4834-a759-1781e710c6cb","54.89959","-127.10286","12.2138","5.80605","-1.13178","-10.42182","1.10647","-1.83231","1.73119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"High","High","High","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026","02","28"
"2","2026-02-28","17:32:59.71","2","1","Walker, Jonah","807939","Left","NOR_BIS","Macon, Tyler","823527","Right","MIZ_TIG","Undefined","3","Bottom","2","0","0","ChangeUp","Changeup","BallCalled","Undefined","Undefined","Undefined","0","0","","81.67595","0.359417","0.153892","1530.00195","113.085231","9:45","5.52457","-1.39363","6.00754","-34.59368","6.84744","-13.19375","2.97476","-2.35053","75.23284","-6.055256","-2.22059","0.463326",,,,,,,,,,,,"6.80378","3.82351","1.38854","50.0","5.53391","0.18577","-118.76551","-0.33512","9.76359","21.74352","-26.68722","MIZ_TIG","NOR_BIS","TaylorStadium","D1","SEC","20260228-TaylorStadium-3","d1c0c930-14fd-11f1-9d47-ad81a36dfdfe","81.35179",,,"6.44312",,,,,,,"bef09457-2091-4c2d-8883-3b9e5841a581","2026-02-28","23:32:59.71","2026-02-28T17:32:59.7150000-06:00","2026-02-28T23:32:59.7150000Z","","v3","4806","471388","509f340b254c4b3a96c253b40ff1333c","Gustafson, Evan","1000308757","Right","NOR_BIS","4bb69290-ba69-4211-88a9-1dc2b9bf36e2","54.49192","-119.58506","10.87176","5.52759","0.67076","-13.34361","1.38847","-0.18223","4.88179",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"High","High","High","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026","02","28"
"3","2026-02-28","17:33:20.74","2","2","Walker, Jonah","807939","Left","NOR_BIS","Macon, Tyler","823527","Right","MIZ_TIG","Undefined","3","Bottom","2","1","0","Curveball","Curveball","StrikeCalled","Undefined","Undefined","Undefined","0","0","","76.5976","1.010792","1.089122","2489.481675","321.285863","4:45","5.62285","-0.93441","5.46074","-53.58814","-5.7274","5.6428","2.10355","0.55538","71.28006","-8.703892","2.095303","0.497922",,,,,,,,,,,,"-2.57815","-2.7326","0.8345","50.0","5.67483","-2.33033","-111.37976","0.17555","-3.27195","18.07706","-35.64199","MIZ_TIG","NOR_BIS","TaylorStadium","D1","SEC","20260228-TaylorStadium-3","de63f450-14fd-11f1-9d47-ad81a36dfdfe","75.69952",,,"5.31754",,,,,,,"bef09457-2091-4c2d-8883-3b9e5841a581","2026-02-28","23:33:20.74","2026-02-28T17:33:20.7420000-06:00","2026-02-28T23:33:20.7420000Z","","v3","4806","471388","509f340b254c4b3a96c253b40ff1333c","Gustafson, Evan","1000308757","Right","NOR_BIS","3c4ad7d8-eb0d-420e-92dc-2152251d2538","55.04196","-112.19509","9.03853","5.63066","1.78312","-17.821","0.93627","-2.18275","-1.63597",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"High","High","High","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026","02","28"
"4","2026-02-28","17:33:42.84","2","3","Walker, Jonah","807939","Left","NOR_BIS","Macon, Tyler","823527","Right","MIZ_TIG","Undefined","3","Bottom","2","1","1","Fastball","Cutter","InPlay","Undefined","GroundBall","Out","1","0","","86.22908","-0.774497","1.234328","2248.118886","165.374008","11:30","5.8036","-1.08573","5.70213","-28.31057","9.25658","-2.12791","2.7225","-0.11273","79.50735","-6.005418","0.853612","0.441139","89.78487","-19.319275","-5.793033",,,,,"7.84243","7.84243","-4.791387","0.059873","1.4089","5.24067","0.98358","50.0","5.72092","-2.61344","-125.31861","-2.65129","2.25576","23.71527","-23.7834","MIZ_TIG","NOR_BIS","TaylorStadium","D1","SEC","20260228-TaylorStadium-3","eb85ec60-14fd-11f1-9d47-ad81a36dfdfe","85.44346","2.61415",,"6.72173",,,,"0.3963","2.61415","0.09759","bef09457-2091-4c2d-8883-3b9e5841a581","2026-02-28","23:33:42.84","2026-02-28T17:33:42.8490000-06:00","2026-02-28T23:33:42.8490000Z","GroundBall","v3","4806","471388","509f340b254c4b3a96c253b40ff1333c","Gustafson, Evan","1000308757","Right","NOR_BIS","c5103aca-e141-4889-bd88-f62afc069c4b","54.79813","-126.22334","11.85763","5.80475","-1.74396","-11.8917","1.08492","-2.69949","1.12788",,"0.39368","123.9069",,,,,,,,"2.61508","-43.66136",,,,,,,,"0.09786","-12.57078",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"High","High","High","Estimated","Estimated","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"74.79041","7.57874","8.38527","2026","02","28"
"15","2026-02-28","17:42:11.50","1","1","Walker, Jonah","807939","Left","NOR_BIS","Woita, Jase","831805","Left","MIZ_TIG","Undefined","4","Bottom","0","0","0","Fastball","Four-Seam","InPlay","Undefined","GroundBall","Single","0","0","","87.34943","-1.337251","1.546131","2238.078488","148.334771","11:00","5.87356","-0.87769","5.68517","-25.04324","11.98599","-6.64414","2.5395","0.01013","79.7078","-6.001771","0.357922","0.437969","87.48827","-21.889974","48.604198",,,,,"9.58696","9.37181","32.948096","0.057819","3.86138","6.83784","0.75193","50.0","5.74537","-3.14717","-126.77866","-3.79258","6.25744","26.96315","-21.09318","MIZ_TIG","NOR_BIS","TaylorStadium","D1","SEC","20260228-TaylorStadium-3","1aa716d0-14ff-11f1-9d47-ad81a36dfdfe","86.06183","2.77291",,"7.64163",,,,"3.48148","2.77291","0.03705","bef09457-2091-4c2d-8883-3b9e5841a581","2026-02-28","23:42:11.50","2026-02-28T17:42:11.5050000-06:00","2026-02-28T23:42:11.5050000Z","GroundBall","v3","4806","471388","509f340b254c4b3a96c253b40ff1333c","Gustafson, Evan","1000308757","Right","NOR_BIS","7c687556-e8d6-4bc1-8fa4-eb88b8b522e9","54.81456","-127.79851","13.48158","5.87374","-2.99475","-10.54659","0.87544","-3.38386","3.12872","180.0","3.47965","78.9286",,,,,,,,"2.77403","-47.95874",,,,,,,,"0.03498","89.54014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"High","High","High","High","High","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"74.38284","16.77463","25.98899","2026","02","28"
"16","2026-02-28","17:42:52.15","2","1","Walker, Jonah","807939","Left","NOR_BIS","Serna, Mateo","806219","Right","MIZ_TIG","Undefined","4","Bottom","0","0","0","Curveball","Curveball","BallCalled","Undefined","Undefined","Undefined","0","0","","77.47651","-0.93718","0.920503","2431.351635","340.034158","5:15","5.57478","-1.14365","5.52129","-51.34656","-4.18036","2.04591","0.41949","-0.11245","71.65302","-10.249391","1.286454","0.494296",,,,,,,,,,,,"-0.78512","-1.50051","1.06211","50.0","5.45836","-1.88446","-112.5495","-3.53533","-1.00576","20.6763","-34.09622","MIZ_TIG","NOR_BIS","TaylorStadium","D1","SEC","20260228-TaylorStadium-3","32df3160-14ff-11f1-9d47-ad81a36dfdfe","76.25486",,,"5.8235",,,,,,,"bef09457-2091-4c2d-8883-3b9e5841a581","2026-02-28","23:42:52.15","2026-02-28T17:42:52.1550000-06:00","2026-02-28T23:42:52.1550000Z","","v3","4806","471388","509f340b254c4b3a96c253b40ff1333c","Gustafson, Evan","1000308757","Right","NOR_BIS","93673905-2dc4-4db0-8050-7fb208189fa8","54.98063","-113.4608","10.33815","5.58106","-2.03256","-17.04811","1.14419","-1.84013","-0.50288",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"High","High","High","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026","02","28"
"17","2026-02-28","17:43:15.14","2","2","Walker, Jonah","807939","Left","NOR_BIS","Serna, Mateo","806219","Right","MIZ_TIG","Undefined","4","Bottom","0","1","0","Fastball","Cutter","BallCalled","Undefined","Undefined","Undefined","0","0","","86.70485","-0.293713","2.666734","2222.994462","154.030867","11:15","5.82245","-0.78262","5.73248","-26.6336","10.77894","-4.67654","3.32916","1.31291","79.30749","-5.246681","1.831039","0.44023",,,,,,,,,,,,"3.1002","5.93114","0.56307","50.0","5.78169","-5.6601","-125.79731","-1.53306","4.97176","25.3309","-22.66224","MIZ_TIG","NOR_BIS","TaylorStadium","D1","SEC","20260228-TaylorStadium-3","40a13a00-14ff-11f1-9d47-ad81a36dfdfe","85.61979",,,"7.39736",,,,,,,"bef09457-2091-4c2d-8883-3b9e5841a581","2026-02-28","23:43:15.14","2026-02-28T17:43:15.1480000-06:00","2026-02-28T23:43:15.1480000Z","","v3","4806","471388","509f340b254c4b3a96c253b40ff1333c","Gustafson, Evan","1000308757","Right","NOR_BIS","08f3db58-fbfb-41d4-8b57-41eb018bb17a","54.76478","-126.75313","12.66545","5.82341","-0.67794","-11.33112","0.78019","-5.8477","2.48588",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"High","High","High","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026","02","28"
"18","2026-02-28","17:43:36.66","2","3","Walker, Jonah","807939","Left","NOR_BIS","Serna, Mateo","806219","Right","MIZ_TIG","Undefined","4","Bottom","0","2","0","ChangeUp","Sinker","StrikeCalled","Undefined","Undefined","Undefined","0","0","","85.18137","-0.356275","1.243073","2137.500493","152.724396","11:00","5.8293","-0.92037","5.59443","-25.72025","13.32702","-6.21378","3.35322","-0.27737","77.63994","-5.153742","0.133989","0.449746",,,,,,,,,,,,"3.4791","7.23032","0.81779","50.0","5.78225","-2.41652","-123.60867","-1.60928","5.36719","25.30427","-21.01989","MIZ_TIG","NOR_BIS","TaylorStadium","D1","SEC","20260228-TaylorStadium-3","4d7427b0-14ff-11f1-9d47-ad81a36dfdfe","83.80837",,,"7.54143",,,,,,,"bef09457-2091-4c2d-8883-3b9e5841a581","2026-02-28","23:43:36.66","2026-02-28T17:43:36.6660000-06:00","2026-02-28T23:43:36.6660000Z","","v3","4806","471388","509f340b254c4b3a96c253b40ff1333c","Gustafson, Evan","1000308757","Right","NOR_BIS","52139a17-a5cf-4d24-9e1f-812f4bf3eaea","54.902","-124.60813","12.65214","5.82941","-0.77905","-10.50994","0.91743","-2.62851","2.68359",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"High","High","High","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026","02","28"
"19","2026-02-28","17:43:58.46","2","4","Walker, Jonah","807939","Left","NOR_BIS","Serna, Mateo","806219","Right","MIZ_TIG","Undefined","4","Bottom","0","2","1","ChangeUp","Slider","BallCalled","Undefined","Undefined","Undefined","0","0","","85.33383","0.363229","-0.10063","2168.198464","141.466238","10:45","5.75801","-1.11438","5.51855","-31.13565","7.88331","-5.26957","3.503","-1.6476","77.78936","-5.392789","-1.040207","0.449582",,,,,,,,,,,,"2.61449","4.27075","1.12668","50.0","5.76903","0.4448","-123.85082","-0.29985","4.0466","25.54877","-25.56391","MIZ_TIG","NOR_BIS","TaylorStadium","D1","SEC","20260228-TaylorStadium-3","5a56a5c0-14ff-11f1-9d47-ad81a36dfdfe","83.83881",,,"7.54447",,,,,,,"bef09457-2091-4c2d-8883-3b9e5841a581","2026-02-28","23:43:58.46","2026-02-28T17:43:58.4690000-06:00","2026-02-28T23:43:58.4690000Z","","v3","4806","471388","509f340b254c4b3a96c253b40ff1333c","Gustafson, Evan","1000308757","Right","NOR_BIS","a4182c96-47e9-4779-9960-16a5f35d07c0","54.9784","-124.87358","12.77439","5.76055","0.72351","-12.78196","1.11212","0.28281","2.0233",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"High","High","High","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026","02","28"
"20","2026-02-28","17:44:21.43","2","5","Walker, Jonah","807939","Left","NOR_BIS","Serna, Mateo","806219","Right","MIZ_TIG","Undefined","4","Bottom","0","3","1","Fastball","Cutter","StrikeCalled","Undefined","Undefined","Undefined","0","0","","85.64931","0.102273","0.991285","2201.468828","149.905262","11:00","5.76587","-1.0024","5.5401","-31.29372","7.43843","-3.57603","3.25366","-0.37383","78.05136","-5.681543","0.353436","0.447927",,,,,,,,,,,,"2.0865","4.11949","0.91886","50.0","5.75417","-1.99695","-124.29427","-0.87092","3.25013","25.90764","-25.75717","MIZ_TIG","NOR_BIS","TaylorStadium","D1","SEC","20260228-TaylorStadium-3","681a3500-14ff-11f1-9d47-ad81a36dfdfe","84.14864",,,"7.59795",,,,,,,"bef09457-2091-4c2d-8883-3b9e5841a581","2026-02-28","23:44:21.43","2026-02-28T17:44:21.4320000-06:00","2026-02-28T23:44:21.4320000Z","","v3","4806","471388","509f340b254c4b3a96c253b40ff1333c","Gustafson, Evan","1000308757","Right","NOR_BIS","4fb90899-4e0c-432b-955b-3cdc4e6dee7f","54.95713","-125.32327","12.95382","5.76845","0.1521","-12.87859","1.00073","-2.12604","1.62507",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"High","High","High","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026","02","28"
